epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
61,598.824,1.83014,2.13443,1.80641,0.23284,0.23892,0.14812,0.04077,2.44573,2.41605,2.11831,0.0007624,0.0007624,0.0007624
62,608.586,1.81638,2.11813,1.79597,0.17945,0.20936,0.0977,0.02677,2.58472,2.49208,2.24462,0.00075844,0.00075844,0.00075844
63,617.824,1.8252,2.07367,1.80263,0.21332,0.25123,0.14018,0.03935,2.43055,2.42127,2.09449,0.00075448,0.00075448,0.00075448
64,627.557,1.8256,2.07791,1.80043,0.17771,0.21675,0.12188,0.03251,2.51952,2.55122,2.1959,0.00075052,0.00075052,0.00075052
65,637.254,1.81834,2.06925,1.79253,0.20862,0.2344,0.13326,0.04164,2.50222,2.41747,2.19566,0.00074656,0.00074656,0.00074656
66,647.448,1.79968,2.01924,1.77854,0.2768,0.23153,0.18181,0.05461,2.42936,2.46636,2.09088,0.0007426,0.0007426,0.0007426
67,657.378,1.77621,2.02178,1.76906,0.20719,0.22207,0.12981,0.04288,2.45138,2.42002,2.14176,0.00073864,0.00073864,0.00073864
68,666.759,1.78722,2.00098,1.76441,0.23303,0.22906,0.14609,0.04521,2.44455,2.41236,2.14243,0.00073468,0.00073468,0.00073468
69,676.323,1.75576,1.95987,1.75021,0.20884,0.27094,0.14787,0.04613,2.52924,2.43802,2.21531,0.00073072,0.00073072,0.00073072
70,685.518,1.74895,1.9716,1.74133,0.22555,0.23153,0.15516,0.04602,2.46622,2.39236,2.15606,0.00072676,0.00072676,0.00072676
71,695.328,1.76667,1.95588,1.75799,0.20965,0.23153,0.13135,0.03974,2.48516,2.46318,2.1883,0.0007228,0.0007228,0.0007228
72,704.747,1.73929,1.929,1.73745,0.26388,0.20936,0.16048,0.04684,2.50759,2.40137,2.21675,0.00071884,0.00071884,0.00071884
73,714.7,1.7283,1.9349,1.73106,0.19664,0.26355,0.12469,0.04047,2.38593,2.50876,2.07579,0.00071488,0.00071488,0.00071488
74,724.376,1.7359,1.91282,1.72753,0.23217,0.24205,0.14023,0.04146,2.47122,2.49487,2.18888,0.00071092,0.00071092,0.00071092
75,734.186,1.72003,1.91886,1.72016,0.16014,0.20197,0.1071,0.03256,2.56916,2.49101,2.27376,0.00070696,0.00070696,0.00070696
76,743.764,1.67781,1.86012,1.67878,0.209,0.24877,0.14901,0.04042,2.58903,2.38463,2.27686,0.000703,0.000703,0.000703
77,753.436,1.6825,1.82334,1.68758,0.21895,0.25134,0.14295,0.04241,2.52596,2.41639,2.22527,0.00069904,0.00069904,0.00069904
78,763.054,1.6935,1.81314,1.69404,0.21571,0.24658,0.14894,0.04031,2.5318,2.40008,2.27096,0.00069508,0.00069508,0.00069508
79,772.807,1.64128,1.79231,1.65751,0.21466,0.27535,0.145,0.04856,2.3717,2.42872,2.10875,0.00069112,0.00069112,0.00069112
80,782.678,1.65597,1.76047,1.6677,0.22371,0.20936,0.13254,0.04292,2.50453,2.51832,2.24063,0.00068716,0.00068716,0.00068716
81,792.352,1.63704,1.73127,1.64068,0.27138,0.21675,0.14002,0.03695,2.68481,2.43326,2.41056,0.0006832,0.0006832,0.0006832
82,802.19,1.66075,1.72463,1.65444,0.21944,0.23399,0.14663,0.04022,2.56824,2.43746,2.28031,0.00067924,0.00067924,0.00067924
83,811.872,1.63321,1.68687,1.64628,0.20636,0.24138,0.12567,0.03517,2.66004,2.61443,2.38435,0.00067528,0.00067528,0.00067528
84,821.44,1.63276,1.67189,1.63476,0.24036,0.29557,0.16132,0.04475,2.54945,2.48475,2.21453,0.00067132,0.00067132,0.00067132
85,830.963,1.62724,1.65536,1.61946,0.20891,0.2266,0.13538,0.03842,2.67108,2.53435,2.38616,0.00066736,0.00066736,0.00066736
86,840.329,1.60315,1.6485,1.61844,0.25088,0.28079,0.17002,0.04933,2.51394,2.48139,2.22398,0.0006634,0.0006634,0.0006634
87,850.211,1.63787,1.61241,1.631,0.22894,0.24353,0.14047,0.0395,2.63156,2.54146,2.37197,0.00065944,0.00065944,0.00065944
88,859.666,1.60836,1.59019,1.62699,0.26335,0.22906,0.16148,0.05508,2.48537,2.6391,2.2226,0.00065548,0.00065548,0.00065548
89,869.837,1.59687,1.61704,1.61763,0.232,0.23645,0.13275,0.03698,2.61712,2.58419,2.34111,0.00065152,0.00065152,0.00065152
90,879.3,1.57045,1.53588,1.5974,0.20235,0.18719,0.11307,0.03284,2.67229,2.59697,2.42108,0.00064756,0.00064756,0.00064756
91,888.815,1.56889,1.55415,1.5865,0.27092,0.24384,0.15036,0.04596,2.49657,2.66257,2.21528,0.0006436,0.0006436,0.0006436
92,898.276,1.52907,1.50517,1.5583,0.24012,0.23645,0.14291,0.04406,2.5197,2.49421,2.27475,0.00063964,0.00063964,0.00063964
93,907.767,1.53983,1.46494,1.56786,0.25571,0.28079,0.14691,0.04538,2.56089,2.49659,2.34366,0.00063568,0.00063568,0.00063568
94,917.521,1.55617,1.4482,1.56694,0.20256,0.25369,0.12238,0.04103,2.54748,2.76176,2.26736,0.00063172,0.00063172,0.00063172
95,927.272,1.52695,1.45298,1.53934,0.17936,0.28079,0.13797,0.04011,2.69173,2.57134,2.4352,0.00062776,0.00062776,0.00062776
96,936.863,1.50647,1.4275,1.53151,0.22228,0.24358,0.14068,0.04289,2.56672,2.65421,2.28375,0.0006238,0.0006238,0.0006238
97,946.432,1.48758,1.38337,1.52738,0.19529,0.2734,0.1302,0.03779,2.67312,2.55276,2.46449,0.00061984,0.00061984,0.00061984
98,955.865,1.51233,1.38831,1.54369,0.24425,0.21334,0.13113,0.03392,2.7985,2.68145,2.59802,0.00061588,0.00061588,0.00061588
99,965.522,1.49811,1.39259,1.51913,0.19776,0.2453,0.11856,0.03531,2.53233,2.70498,2.29867,0.00061192,0.00061192,0.00061192
100,974.832,1.45816,1.30909,1.50498,0.22363,0.23153,0.12175,0.03461,2.62017,2.69595,2.39214,0.00060796,0.00060796,0.00060796
101,984.764,1.49227,1.30163,1.51667,0.24781,0.21429,0.13277,0.04322,2.58939,2.69554,2.35343,0.000604,0.000604,0.000604
102,994.228,1.45185,1.27592,1.49241,0.25805,0.21182,0.12159,0.03765,2.61507,2.73811,2.41817,0.00060004,0.00060004,0.00060004
103,1003.92,1.45511,1.25087,1.50488,0.28951,0.18473,0.14554,0.04556,2.5683,2.67759,2.39366,0.00059608,0.00059608,0.00059608
104,1013.22,1.45056,1.24827,1.49639,0.20063,0.18966,0.10503,0.03,2.73106,2.80753,2.55566,0.00059212,0.00059212,0.00059212
105,1023.31,1.42785,1.20072,1.47211,0.19261,0.26355,0.14147,0.04742,2.57324,2.7764,2.36146,0.00058816,0.00058816,0.00058816
106,1033.02,1.41307,1.1778,1.4693,0.25646,0.21429,0.14652,0.04876,2.63574,2.7997,2.43914,0.0005842,0.0005842,0.0005842
107,1042.6,1.38242,1.15069,1.4404,0.17485,0.27035,0.12318,0.03735,2.66912,2.73432,2.51401,0.00058024,0.00058024,0.00058024
108,1052.28,1.39201,1.1504,1.45496,0.19493,0.25862,0.13579,0.04393,2.549,2.82119,2.35713,0.00057628,0.00057628,0.00057628
109,1061.67,1.37979,1.11013,1.44278,0.23386,0.26355,0.13743,0.0454,2.67634,2.8012,2.46846,0.00057232,0.00057232,0.00057232
110,1071.72,1.35236,1.102,1.40388,0.24753,0.25369,0.15238,0.05304,2.66005,3.05175,2.44097,0.00056836,0.00056836,0.00056836
111,1081.52,1.37547,1.07014,1.43428,0.19906,0.2118,0.12172,0.03488,2.78366,3.09001,2.6198,0.0005644,0.0005644,0.0005644
112,1091.04,1.36836,1.06848,1.42487,0.20841,0.21921,0.12011,0.04044,2.65836,2.93967,2.54818,0.00056044,0.00056044,0.00056044
113,1100.55,1.37027,1.07343,1.42514,0.23489,0.1898,0.12488,0.04221,2.60693,2.88385,2.46491,0.00055648,0.00055648,0.00055648
114,1110.06,1.33942,1.05392,1.39992,0.2008,0.26601,0.14358,0.0498,2.57899,2.86831,2.38855,0.00055252,0.00055252,0.00055252
115,1119.62,1.32879,1.03454,1.39988,0.20046,0.24631,0.13895,0.04863,2.56522,2.87182,2.44591,0.00054856,0.00054856,0.00054856
116,1128.96,1.33177,1.03952,1.40005,0.22312,0.2266,0.14074,0.04721,2.58202,2.96102,2.42265,0.0005446,0.0005446,0.0005446
117,1139.22,1.32018,0.99222,1.38565,0.26102,0.25229,0.15138,0.04791,2.72748,2.75072,2.62934,0.00054064,0.00054064,0.00054064
118,1149.32,1.30743,0.98173,1.3877,0.17026,0.24816,0.12193,0.04364,2.64327,2.91746,2.52997,0.00053668,0.00053668,0.00053668
119,1159.09,1.27871,0.95593,1.36712,0.20335,0.24138,0.12329,0.04497,2.61813,2.86707,2.42848,0.00053272,0.00053272,0.00053272
